<<<<<<< HEAD
Implementation,TLS 1.2 Suite B
Botan,Yes
Bouncy Castle,Yes
cryptlib,Yes
GnuTLS,Yes
JSSE,Yes[65]
LibreSSL,Yes
MatrixSSL,Yes
Mbed TLS,Yes
NSS,No[66]
OpenSSL,Yes[52]
RSA BSAFE,Yes[53]
S2n,
SChannel,Yes[67]
Secure Transport,No
wolfSSL,Yes
Implementation,TLS 1.2 Suite B
=======
Implementation,PKCS #11 device,Intel AES-NI,VIA PadLock,ARMv8-A,Intel SGX,Intel QAT,Intel SHA
Botan,Yes[209],Yes,No,Yes,No,No,
cryptlib,Yes,Yes,Yes,No,,No,
Crypto++,,Yes,,,,No,Yes
GnuTLS,Yes,Yes,Yes,Yes[210],No,No,
JSSE,Yes,Yes[211],No,No,,No,
LibreSSL,No,Yes,Yes,No,,No,
MatrixSSL,Yes,Yes,No,Yes,,No,
Mbed TLS,Yes,Yes[212],Yes,No,,No,
NSS,Yes[213],Yes[214],No[215],No,,No,
OpenSSL,Yes[216],Yes,Yes,Yes[217],,No,Yes
RSA BSAFE Micro Edition Suite,Yes,Yes,No,Yes,No,No,Yes
RSA BSAFE SSL-J [a][b],Yes,Yes,No,Yes,No,No,Yes
SChannel,No,Yes,No,No,,No,
Secure Transport,No,Yes[220][221],No,Yes,,No,
wolfSSL,Yes,Yes,No,Yes,Yes,Yes[222],
Implementation,PKCS #11 device,Intel AES-NI,VIA PadLock,ARMv8-A,Intel SGX,Intel QAT,Intel SHA
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
